PLAYER COMMANDS (CCommand)
==========================

Every player action in the game is a command object, posted to the
game's own command queue. The path a mouse click takes. NOT a cheat:
the game still applies its own rules through CanExecute.

Addresses are relative to the image base. ARGS is how many arguments
the constructor takes; FIELDS lists offset:kind pairs on the object.


COMMAND                                        CTOR          VTABLE        ARGS  FIELDS
----------------------------------------------------------------------------------------------------------------------
CAbortDismantleFacilityCommand                 img+0x262F180 img+0x42DC0B0 4     0x24:handle
CAddAdvisorCommand                             img+0x1BF8CD0 img+0x4269380 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CAddAdvisorRoleToCharacterCommand              img+0x1BF8340 img+0x42692A8 4     0x24:handle,0x2C:deref
CAddConstructionCommand                        img+0x1BED000 img+0x4268450 4     0x24:deref,0x30:handle,0x38:field0x10,0x40:int
CAddConveyorLineCommand                        img+0x20DAE40 img+0x42B6530 4     0x24:handle,0x2C:int
CAddHumanCommand                               img+0x201C480 img+0x42B3128 2     0xD0:handle
CAddIdeaCommand                                img+0x1BF7150 img+0x42690F8 4     -
CAddMassFactoryAssignmentCommand               img+0x1BE6D00 img+0x42675F8 4     -
CAddMassProductionsLineCommand                 img+0x1BE5810 img+0x4267370 4     0x24:deref,0x30:field0xc
CAddNavalInvasionTargetCommand                 img+0x22011D0 img+0x42BF720 4     0x24:handle,0x2C:int,0x30:int
CAddPlayerCommand                              img+0x201ACC0 img+0x42B3050 4     0x30:handle,0x38:handle,0x48:deref
CAddProductionLineCommand                      img+0x1BE4F70 img+0x4267298 4     0x24:deref,0x28:handle,0x30:handle
CAddProductionLineFactoriesCommand             img+0x1BF09B0 img+0x4268B10 4     0x24:handle,0x2C:int
CAddTaskForceTemplateCommand                   img+0x2136AE0 img+0x42B9670 3     0x24:deref,0x30:handle,0x38:handle
CAiDiscardForceConcentrationTargetCommand      img+0x24E05E0 img+0x42CFCF0 3     0x24:deref,0x28:int,0x2C:int
CAiOnFailedInvasionCommand                     img+0x24DF420 img+0x42CFA68 2     0x24:deref,0x28:int
CAiStoreForceConcentrationTargetCommand        img+0x24E00C0 img+0x42CFC18 4     0x24:deref,0x28:int,0x2C:int,0x30:ptr
CAiStoreTotalWantedNrDivisionsCommand          img+0x24DFAB0 img+0x42CFB40 4     0x24:deref,0x28:int,0x2C:int,0x30:int
CAmendForeignManpowerActionCommand             img+0x1C0FFD0 img+0x426B7C8 4     0x24:deref,0x28:handle,0x30:int
CAmendIncomingLendLeaseActionCommand           img+0x1C0FA30 img+0x426B6F0 4     0x24:deref,0x28:handle,0x30:deref
CArmyGroupCommand                              img+0x21E57C0 img+0x42BDA70 4     0x24:handle,0x40:handle,0x58:handle,0x60:handle
CAskToCoopWithCountryCommand                   img+0x1BB1770 img+0x4266220 2     0x24:deref,0x28:int
CAssignAceCommand                              img+0x1BFFB00 img+0x426A538 4     0x24:handle,0x2C:handle
CAssignToArmyGroupCommand                      img+0x21E6BF0 img+0x42BDB48 4     0x28:ptr,0x34:int,0x40:handle,0x48:int
CAssignToTheaterGroupCommand                   img+0x23B08E0 img+0x42C8A08 4     0x24:handle,0x30:deref,0x40:handle,0x48:ptr
CAttachAirWingToArmyCommand                    img+0x22DA520 img+0x42C52E8 4     0x28:ptr,0x40:handle
CAttachScientistCommand                        img+0x262DB10 img+0x42DBBA0 4     0x24:handle,0x30:handle
CAutoMergeOrdersCommand                        img+0x21F2CD0 img+0x42BE568 2     0x24:deref,0x2C:int
CAutomateHomebaseForFleetCommand               img+0x2137FE0 img+0x42B99D0 4     -
CBecomeSpyMasterCommand                        img+0x21A0CF0 img+0x42BBE50 1     0x24:deref
CBuildRailwayCommand                           img+0x1C10640 img+0x426B978 4     0x24:deref,0x40:int
CBypassNationalFocusCommand                    img+0x1C040C0 img+0x426AA48 2     0x24:deref,0x28:ptr
CCancelMovementCommand                         img+0x23EA300 img+0x42CA558 4     0x40:bool
CCancelRunningAwayCommand                      img+0x23F4200 img+0x42CB2D8 4     0x24:field0x18
CChangeAirGroupInsigniaCommand                 img+0x22DE690 img+0x42C5B58 3     0x24:ptr,0x50:int
CChangeConveyorPositionCommand                 img+0x20DB5B0 img+0x42B67B8 4     0x24:handle,0x2C:int
CChangeConveyorTemplateCommand                 img+0x20DA5A0 img+0x42B62A8 4     0x24:handle,0x2C:handle
CChangeCountryControllerCommand                img+0x1C03670 img+0x426A7C0 3     0x24:deref,0x28:deref,0x2C:int
CChangeNavalBaseRepairPriorityCommand          img+0x21356D0 img+0x42B9160 2     0x24:field0x10,0x28:int
CChangeProductionLineNamePriorityCommand       img+0x1BECDC0 img+0x4268378 3     0x24:ptr,0x2C:int,0x30:int
CChangeProductionLinePriorityCommand           img+0x1BF01D0 img+0x4268960 4     0x24:handle,0x2C:int
CChangeRailwayConstructionLeveLCommand         img+0x1C111D0 img+0x426BA50 4     0x24:handle,0x2C:int
CChatCommand                                   img+0x1AE55A0 img+0x4263B20 4     0x30:handle,0x38:handle,0x48:int,0x4C:int
CChatNewChannelCommand                         img+0x1AE6900 img+0x4263F58 3     0x30:handle,0x38:handle
CChatRequestSyncCommand                        img+0x1AE7500 img+0x4264108 0     -
CChatSyncAllCommand                            img+0x1AF0C60 img+0x4264030 3     0x20:field0x20,0x88:field0x88
CChatUserJoinedChannelCommand                  img+0x1AE6530 img+0x4263DA8 2     0x24:int,0x28:int
CChatUserJoinedCommand                         img+0x1AE5B50 img+0x4263BF8 3     0x30:handle,0x38:handle,0x48:int,0x58:handle
CChatUserLeftChannelCommand                    img+0x1AE6720 img+0x4263E80 2     0x24:int,0x28:int
CChatUserLeftCommand                           img+0x1AE6300 img+0x4263CD0 1     0x24:int
CCheckSyncCommand                              img+0x2096070 img+0x42B4AF0 4     0x30:field0xc,0x34:field0xc
CCheckSyncResponseCommand                      img+0x2096780 img+0x42B4BC8 3     0x30:handle,0x38:handle,0x48:int,0x4C:bool
CClearAllControllersCommand                    img+0x1BB24D0 img+0x42663D0 0     -
CClientOutOfSyncCommand                        img+0x2095170 img+0x42B4790 3     0x24:int,0x28:ptr,0x30:ptr,0x38:ptr
CCollapseConveyorCommand                       img+0x20DB380 img+0x42B66E0 4     0x24:handle
CConvertFactoryCommand                         img+0x1BEF9D0 img+0x4268888 4     0x24:field0x2b8,0x28:field0x2b8,0x2C:int,0x30:bool
CCreateAreaDefenseCommand                      img+0x2201CA0 img+0x42BF8D0 4     0x24:handle,0x40:handle
CCreateConveyorCommand                         img+0x20D8660 img+0x42B5E70 4     0x24:handle,0x2C:int
CCreateConveyorExtendedCommand                 img+0x20D8AC0 img+0x42B5F48 4     0x24:handle,0x2C:int,0x30:int,0x34:int
CCreateDivisionTemplateCommand                 img+0x1EE4AF0 img+0x42AB740 3     0x270:deref,0x278:ptr
CCreateEquipmentVariantCommand                 img+0xCB8AE0  img+0x41E3248 4     0x28:field0x3f0,0x30:field0x18,0x34:handle,0x40:ptr
CCreateFactionCommand                          img+0x1BF6460 img+0x4269020 4     0x24:deref,0x30:handle,0x38:handle,0x48:handle
CCreateFleetCommand                            img+0x212CF30 img+0x42B8590 4     0x24:deref,0x28:handle,0x60:int
CCreateOperationCommand                        img+0x21A9720 img+0x42BC438 1     -
CCreateTradeCommand                            img+0x122EE00 img+0x41FC788 4     0x24:deref,0x28:deref,0x30:ptr,0x38:int
CCreateUnitLeaderCommand                       img+0x1C02F60 img+0x426A6E8 2     0x24:deref,0x28:int
CDecreaseGameSpeedCommand                      img+0x23DA1B0 img+0x42C9BE0 2     0x30:handle,0x38:handle
CDeleteAirWingCommand                          img+0x22D9060 img+0x42C5060 4     0x40:deref
CDeleteOperationCommand                        img+0x21A58C0 img+0x42BC510 3     0x24:handle,0x2C:deref,0x30:bool
CDeleteOrderGroupCommand                       img+0x21E5470 img+0x42BD998 4     -
CDeleteShipCommand                             img+0x23F3620 img+0x42CB128 4     0x24:handle,0x2C:handle
CDeleteUnitCommand                             img+0x23EC420 img+0x42CA8B8 4     0x24:field0x18,0x30:deref
CDeployAirWingCommand                          img+0x1BF32C0 img+0x4268F48 4     0x24:deref,0x28:deref,0x2C:handle,0x80:ptr
CDeployArmyHqCommand                           img+0x23EDBF0 img+0x42CAB40 4     0x24:handle,0x2C:handle
CDeployConveyorCommand                         img+0x20DB140 img+0x42B6608 4     0x24:handle
CDeployConveyorLineCommand                     img+0x20DBB20 img+0x42B6968 4     0x24:handle
CDetachAirWingFromArmyCommand                  img+0x22DAD90 img+0x42C53C0 4     -
